Number,State_Name,Constituency_No,Year,Constituency_Name,Margin,Turnout,Electors
1,Andaman_&_Nicobar_Islands,1,2019,ANDAMAN & NICOBAR ISLANDS,1407,207296,318471
2,Andhra_Pradesh,1,2019,ARUKU,224089,1074538,1451418
3,Andhra_Pradesh,2,2019,SRIKAKULAM,6653,1157329,1553860
4,Andhra_Pradesh,3,2019,VIZIANAGARAM,48036,1217890,1503980
5,Andhra_Pradesh,4,2019,VISAKHAPATNAM,4414,1239754,1829300
6,Andhra_Pradesh,5,2019,ANAKAPALLI,89192,1238491,1521363
7,Andhra_Pradesh,6,2019,KAKINADA,25738,1234655,1563930
8,Andhra_Pradesh,7,2019,AMALAPURAM,39795,1232895,1459556
9,Andhra_Pradesh,8,2019,RAJAHMUNDRY,121634,1250427,1534256
10,Andhra_Pradesh,9,2019,NARSAPURAM,32676,1177738,1439691
11,Andhra_Pradesh,10,2019,ELURU,165925,1327923,1594950
12,Andhra_Pradesh,11,2019,MACHILIPATNAM,60238,1244570,1473347
13,Andhra_Pradesh,12,2019,VIJAYAWADA,8726,1277711,1652994
14,Andhra_Pradesh,13,2019,GUNTUR,4205,1351474,1706119
15,Andhra_Pradesh,14,2019,NARASARAOPET,154002,1437420,1670391
16,Andhra_Pradesh,15,2019,BAPATLA,16065,1266492,1468671
17,Andhra_Pradesh,16,2019,ONGOLE,214851,1342368,1556469
18,Andhra_Pradesh,17,2019,NANDYAL,250119,1299093,1603220
19,Andhra_Pradesh,18,2019,KURNOOL,149067,1188327,1573009
20,Andhra_Pradesh,19,2019,ANANTAPUR,141428,1342306,1664160
21,Andhra_Pradesh,20,2019,HINDUPUR,140748,1338514,1578218
22,Andhra_Pradesh,21,2019,KADAPA,380726,1228242,1570330
23,Andhra_Pradesh,22,2019,NELLORE,148571,1287036,1672845
24,Andhra_Pradesh,23,2019,TIRUPATI,228376,1313515,1650453
25,Andhra_Pradesh,24,2019,RAJAMPET,268284,1224354,1546938
26,Andhra_Pradesh,25,2019,CHITTOOR,137271,1319472,1566499
27,Arunachal_Pradesh,1,2019,ARUNACHAL WEST,174843,358310,463775
28,Arunachal_Pradesh,2,2019,ARUNACHAL EAST,69948,293781,339788
29,Assam,1,2019,KARIMGANJ,38389,1060072,1340173
30,Assam,2,2019,SILCHAR,81596,949696,1195720
31,Assam,3,2019,AUTONOMOUS DISTRICT,239626,617735,795945
32,Assam,4,2019,DHUBRI,226258,1685005,1858566
33,Assam,5,2019,KOKRAJHAR,37786,1479485,1776358
34,Assam,6,2019,BARPETA,140307,1458549,1685149
35,Assam,7,2019,GAUHATI,345606,1763757,2181319
36,Assam,8,2019,MANGALDOI,138545,1506107,1800237
37,Assam,9,2019,TEZPUR,242841,1190196,1499639
38,Assam,10,2019,NOWGONG,16752,1493475,1794648
39,Assam,11,2019,KALIABOR,209994,1424687,1734938
40,Assam,12,2019,JORHAT,82653,1057965,1365035
41,Assam,13,2019,DIBRUGARH,364566,1015748,1314319
42,Assam,14,2019,LAKHIMPUR,350551,1283589,1708013
43,Bihar,1,2019,VALMIKI NAGAR,354616,1032090,1665502
44,Bihar,2,2019,PASCHIM CHAMPARAN,293906,1012936,1633824
45,Bihar,3,2019,PURVI CHAMPARAN,293648,999400,1658672
46,Bihar,4,2019,SHEOHAR,340360,1004559,1686215
47,Bihar,5,2019,SITAMARHI,250539,1038849,1752454
48,Bihar,6,2019,MADHUBANI,454940,963708,1792798
49,Bihar,7,2019,JHANJHARPUR,322951,1060562,1852417
50,Bihar,8,2019,SUPAUL,266853,1110805,1690620
51,Bihar,9,2019,ARARIA,137241,1169630,1805439
52,Bihar,10,2019,KISHANGANJ,34466,1101603,1659651
53,Bihar,11,2019,KATIHAR,57203,1117734,1653353
54,Bihar,12,2019,PURNIA,263461,1153940,1765312
55,Bihar,13,2019,MADHEPURA,301527,1147274,1884883
56,Bihar,14,2019,DARBHANGA,267979,964996,1654811
57,Bihar,15,2019,MUZAFFARPUR,409988,1058086,1730553
58,Bihar,16,2019,VAISHALI,234584,1074730,1735983
59,Bihar,17,2019,GOPALGANJ (SC),286434,1024876,1839514
60,Bihar,18,2019,SIWAN,116958,984810,1799551
61,Bihar,19,2019,MAHARAJGANJ,230772,972703,1807768
62,Bihar,20,2019,SARAN,138411,943020,1667253
63,Bihar,21,2019,HAJIPUR (SC),205449,1006817,1823664
64,Bihar,22,2019,UJIARPUR,277278,969284,1612300
65,Bihar,23,2019,SAMASTIPUR (SC),251643,1019025,1679030
