Number,State_Name,Constituency_No,Year,Turnout,Electors,Constituency_Name,Margin
1,Andaman_&_Nicobar_Islands,1,2019,207296,318471,ANDAMAN & NICOBAR ISLANDS,1407
2,Andhra_Pradesh,1,2019,1074538,1451418,ARUKU,224089
3,Andhra_Pradesh,2,2019,1157329,1553860,SRIKAKULAM,6653
4,Andhra_Pradesh,3,2019,1217890,1503980,VIZIANAGARAM,48036
5,Andhra_Pradesh,4,2019,1239754,1829300,VISAKHAPATNAM,4414
6,Andhra_Pradesh,5,2019,1238491,1521363,ANAKAPALLI,89192
7,Andhra_Pradesh,6,2019,1234655,1563930,KAKINADA,25738
8,Andhra_Pradesh,7,2019,1232895,1459556,AMALAPURAM,39795
9,Andhra_Pradesh,8,2019,1250427,1534256,RAJAHMUNDRY,121634
10,Andhra_Pradesh,9,2019,1177738,1439691,NARSAPURAM,32676
11,Andhra_Pradesh,10,2019,1327923,1594950,ELURU,165925
12,Andhra_Pradesh,11,2019,1244570,1473347,MACHILIPATNAM,60238
13,Andhra_Pradesh,12,2019,1277711,1652994,VIJAYAWADA,8726
14,Andhra_Pradesh,13,2019,1351474,1706119,GUNTUR,4205
15,Andhra_Pradesh,14,2019,1437420,1670391,NARASARAOPET,154002
16,Andhra_Pradesh,15,2019,1266492,1468671,BAPATLA,16065
17,Andhra_Pradesh,16,2019,1342368,1556469,ONGOLE,214851
18,Andhra_Pradesh,17,2019,1299093,1603220,NANDYAL,250119
19,Andhra_Pradesh,18,2019,1188327,1573009,KURNOOL,149067
20,Andhra_Pradesh,19,2019,1342306,1664160,ANANTAPUR,141428
21,Andhra_Pradesh,20,2019,1338514,1578218,HINDUPUR,140748
22,Andhra_Pradesh,21,2019,1228242,1570330,KADAPA,380726
23,Andhra_Pradesh,22,2019,1287036,1672845,NELLORE,148571
24,Andhra_Pradesh,23,2019,1313515,1650453,TIRUPATI,228376
25,Andhra_Pradesh,24,2019,1224354,1546938,RAJAMPET,268284
26,Andhra_Pradesh,25,2019,1319472,1566499,CHITTOOR,137271
27,Arunachal_Pradesh,1,2019,358310,463775,ARUNACHAL WEST,174843
28,Arunachal_Pradesh,2,2019,293781,339788,ARUNACHAL EAST,69948
29,Assam,1,2019,1060072,1340173,KARIMGANJ,38389
30,Assam,2,2019,949696,1195720,SILCHAR,81596
31,Assam,3,2019,617735,795945,AUTONOMOUS DISTRICT,239626
32,Assam,4,2019,1685005,1858566,DHUBRI,226258
33,Assam,5,2019,1479485,1776358,KOKRAJHAR,37786
34,Assam,6,2019,1458549,1685149,BARPETA,140307
35,Assam,7,2019,1763757,2181319,GAUHATI,345606
36,Assam,8,2019,1506107,1800237,MANGALDOI,138545
37,Assam,9,2019,1190196,1499639,TEZPUR,242841
38,Assam,10,2019,1493475,1794648,NOWGONG,16752
39,Assam,11,2019,1424687,1734938,KALIABOR,209994
40,Assam,12,2019,1057965,1365035,JORHAT,82653
41,Assam,13,2019,1015748,1314319,DIBRUGARH,364566
42,Assam,14,2019,1283589,1708013,LAKHIMPUR,350551
43,Bihar,1,2019,1032090,1665502,VALMIKI NAGAR,354616
44,Bihar,2,2019,1012936,1633824,PASCHIM CHAMPARAN,293906
45,Bihar,3,2019,999400,1658672,PURVI CHAMPARAN,293648
46,Bihar,4,2019,1004559,1686215,SHEOHAR,340360
47,Bihar,5,2019,1038849,1752454,SITAMARHI,250539
48,Bihar,6,2019,963708,1792798,MADHUBANI,454940
49,Bihar,7,2019,1060562,1852417,JHANJHARPUR,322951
50,Bihar,8,2019,1110805,1690620,SUPAUL,266853
51,Bihar,9,2019,1169630,1805439,ARARIA,137241
52,Bihar,10,2019,1101603,1659651,KISHANGANJ,34466
53,Bihar,11,2019,1117734,1653353,KATIHAR,57203
54,Bihar,12,2019,1153940,1765312,PURNIA,263461
55,Bihar,13,2019,1147274,1884883,MADHEPURA,301527
56,Bihar,14,2019,964996,1654811,DARBHANGA,267979
57,Bihar,15,2019,1058086,1730553,MUZAFFARPUR,409988
58,Bihar,16,2019,1074730,1735983,VAISHALI,234584
59,Bihar,17,2019,1024876,1839514,GOPALGANJ (SC),286434
60,Bihar,18,2019,984810,1799551,SIWAN,116958
61,Bihar,19,2019,972703,1807768,MAHARAJGANJ,230772
62,Bihar,20,2019,943020,1667253,SARAN,138411
63,Bihar,21,2019,1006817,1823664,HAJIPUR (SC),205449
64,Bihar,22,2019,969284,1612300,UJIARPUR,277278
65,Bihar,23,2019,1019025,1679030,SAMASTIPUR (SC),251643
66,Bihar,24,2019,1225594,1958382,BEGUSARAI,422217
67,Bihar,25,2019,966813,1676454,KHAGARIA,248570
68,Bihar,26,2019,1042518,1823820,BHAGALPUR,277630
69,Bihar,27,2019,995806,1699394,BANKA,200532
70,Bihar,28,2019,1036268,1888025,MUNGER,167937
71,Bihar,29,2019,1031286,2114809,NALANDA,256137
72,Bihar,30,2019,982285,2146008,PATNA SAHIB,284657
73,Bihar,31,2019,1077749,1925479,PATALIPUTRA,39321
74,Bihar,32,2019,1080684,2089353,ARRAH,147285
75,Bihar,33,2019,986861,1829373,BUXAR,117609
76,Bihar,34,2019,974749,1787878,SASARAM (SC),165745
77,Bihar,35,2019,868798,1771254,KARAKAT,84542
78,Bihar,36,2019,822065,1588454,JAHANABAD,1751
79,Bihar,37,2019,934901,1742883,AURANGABAD,70552
80,Bihar,38,2019,957248,1704596,GAYA (SC),152426
81,Bihar,39,2019,942462,1899747,NAWADA,148072
82,Bihar,40,2019,949137,1718814,JAMUI (SC),241049
83,Chandigarh,1,2019,456568,646729,CHANDIGARH,46970
84,Chhattisgarh,1,2019,1280689,1655239,SARGUJA,157873
85,Chhattisgarh,2,2019,1350124,1733805,RAIGARH,66027
86,Chhattisgarh,3,2019,1247650,1897134,JANJGIR-CHAMPA,83255
87,Chhattisgarh,4,2019,1136903,1508840,KORBA,26249
88,Chhattisgarh,5,2019,1209434,1876953,BILASPUR,141763
89,Chhattisgarh,6,2019,1307033,1716459,RAJNANDGAON,111966
90,Chhattisgarh,7,2019,1391996,1940269,DURG,391978
91,Chhattisgarh,8,2019,1396250,2111738,RAIPUR,348238
92,Chhattisgarh,9,2019,1222335,1637951,MAHASAMUND,90511
93,Chhattisgarh,10,2019,912846,1379122,BASTAR,38982
94,Chhattisgarh,11,2019,1159193,1558952,KANKER,6914
95,Dadra_&_Nagar_Haveli,1,2019,198983,250029,DADRA AND NAGAR HAVELI,9001
96,Daman_&_Diu,1,2019,87469,121740,DAMAN & DIU,9942
97,Delhi,1,2019,980390,1562283,CHANDNI CHOWK,228145
98,Delhi,2,2019,1461475,2290492,NORTH EAST DELHI,366102
99,Delhi,3,2019,1257821,2039302,EAST DELHI,391222
100,Delhi,4,2019,920541,1617470,NEW DELHI,256504
101,Delhi,5,2019,1402962,2378995,NORTH WEST DELHI,553897
102,Delhi,6,2019,1441601,2371644,WEST DELHI,578486
103,Delhi,7,2019,1214222,2067463,SOUTH DELHI,367043
104,Goa,1,2019,428628,556761,NORTH GOA,80247
105,Goa,2,2019,424575,579352,SOUTH GOA,9755
106,Gujarat,1,2019,1023198,1744321,KACHCHH,305513
107,Gujarat,2,2019,1102081,1697384,BANASKANTHA,368296
108,Gujarat,3,2019,1126256,1807043,PATAN,193879
109,Gujarat,4,2019,1081938,1648869,MAHESANA,281519
110,Gujarat,5,2019,1218353,1801717,SABARKANTHA,268986
111,Gujarat,6,2019,1284090,1945772,GANDHINAGAR,557014
112,Gujarat,7,2019,1116367,1811851,AHMEDABAD EAST,434330
113,Gujarat,8,2019,997024,1643317,AHMEDABAD WEST,321546
114,Gujarat,9,2019,1077726,1849429,SURENDRANAGAR,277437
115,Gujarat,10,2019,1195271,1884339,RAJKOT,368407
116,Gujarat,11,2019,949947,1662368,PORBANDAR,229823
117,Gujarat,12,2019,1010965,1657166,JAMNAGAR,236804
118,Gujarat,13,2019,1004743,1642864,JUNAGADH,150211
119,Gujarat,14,2019,909167,1628451,AMRELI,201431
120,Gujarat,15,2019,1041279,1768297,BHAVNAGAR,329519
121,Gujarat,16,2019,1108661,1655870,ANAND,197718
122,Gujarat,17,2019,1098633,1804028,KHEDA,367145
123,Gujarat,18,2019,1083676,1744762,PANCHMAHAL,428541
124,Gujarat,19,2019,1063212,1598939,DAHOD,127596
125,Gujarat,20,2019,1222348,1794896,VADODARA,589177
126,Gujarat,21,2019,1232459,1671253,CHHOTA UDAIPUR,377943
127,Gujarat,22,2019,1149725,1564519,BHARUCH,334214
128,Gujarat,23,2019,1348038,1826526,BARDOLI,215447
129,Gujarat,24,2019,1068412,1655704,SURAT,548230
130,Gujarat,25,2019,1308018,1971658,NAVSARI,689668
131,Gujarat,26,2019,1260377,1671030,VALSAD,353797
132,Haryana,1,2019,1316235,1853711,AMBALA,342345
133,Haryana,2,2019,1230202,1657335,KURUKSHETRA,384591
134,Haryana,3,2019,1369486,1803349,SIRSA,309918
135,Haryana,4,2019,1179869,1631817,HISAR,314068
136,Haryana,5,2019,1300722,1904193,KARNAL,656142
137,Haryana,6,2019,1129532,1592611,SONIPAT,164864
138,Haryana,7,2019,1220571,1737133,ROHTAK,7503
139,Haryana,8,2019,1161115,1654317,BHIWANI-MAHENDRAGARH,444463
140,Haryana,9,2019,1446509,2150728,GURGAON,386256
141,Haryana,10,2019,1327295,2071816,FARIDABAD,638239
142,Himachal_Pradesh,1,2019,1006989,1427338,KANGRA,477623
143,Himachal_Pradesh,2,2019,941371,1281462,MANDI,405459
144,Himachal_Pradesh,3,2019,988765,1362269,HAMIRPUR,399572
145,Himachal_Pradesh,4,2019,913607,1259085,SHIMLA,327514
146,Jammu_&_Kashmir,1,2019,455550,1317738,BARAMULLA,30233
147,Jammu_&_Kashmir,2,2019,186832,1294671,SRINAGAR,70050
148,Jammu_&_Kashmir,3,2019,124896,1397779,ANANTNAG,6676
149,Jammu_&_Kashmir,4,2019,126426,179232,LADAKH,10930
150,Jammu_&_Kashmir,5,2019,1180123,1685816,UDHAMPUR,357252
151,Jammu_&_Kashmir,6,2019,1478795,2047302,JAMMU,302875
152,Jharkhand,1,2019,1047657,1454436,RAJMAHAL,99195
153,Jharkhand,2,2019,1025968,1397253,DUMKA,47590
154,Jharkhand,3,2019,1194036,1716766,GODDA,184227
155,Jharkhand,4,2019,925937,1425218,CHATRA,377871
156,Jharkhand,5,2019,1209541,1814125,KODARMA,455600
157,Jharkhand,6,2019,1106918,1649413,GIRIDIH,248347
158,Jharkhand,7,2019,1252817,2072634,DHANBAD,486194
159,Jharkhand,8,2019,1234926,1915959,RANCHI,282780
160,Jharkhand,9,2019,1144226,1703279,JAMSHEDPUR,302090
161,Jharkhand,10,2019,879329,1269917,SINGHBHUM,72155
162,Jharkhand,11,2019,832377,1202664,KHUNTI,1445
163,Jharkhand,12,2019,817550,1234286,LOHARDAGA,10363
164,Jharkhand,13,2019,1209747,1881441,PALAMAU,477606
165,Jharkhand,14,2019,1080929,1667465,HAZARIBAGH,479548
166,Karnataka,1,2019,1217549,1612556,CHIKKODI,118877
167,Karnataka,2,2019,1205229,1779350,BELGAUM,391304
168,Karnataka,3,2019,1204613,1704010,BAGALKOT,168187
169,Karnataka,4,2019,1111354,1797587,BIJAPUR,258038
170,Karnataka,5,2019,1189361,1945765,GULBARGA,95452
171,Karnataka,6,2019,1124385,1928204,RAICHUR,117716
172,Karnataka,7,2019,1117167,1775095,BIDAR,116834
173,Karnataka,8,2019,1190347,1736693,KOPPAL,38397
174,Karnataka,9,2019,1221926,1751734,BELLARY,55707
175,Karnataka,10,2019,1266679,1708510,HAVERI,140882
176,Karnataka,11,2019,1213505,1727311,DHARWAD,205072
177,Karnataka,12,2019,1153480,1556599,UTTARA KANNADA,479649
178,Karnataka,13,2019,1194586,1633064,DAVANAGERE,169702
179,Karnataka,14,2019,1283577,1676668,SHIMOGA,223360
180,Karnataka,15,2019,1151012,1513806,UDUPI CHIKMAGALUR,349599
181,Karnataka,16,2019,1277552,1652999,HASSAN,141324
182,Karnataka,17,2019,1345039,1724976,DAKSHINA KANNADA,274621
183,Karnataka,18,2019,1245950,1760633,CHITRADURGA,80178
184,Karnataka,19,2019,1244858,1608545,TUMKUR,13339
185,Karnataka,20,2019,1379210,1712004,MANDYA,125876
186,Karnataka,21,2019,1318041,1896333,MYSORE,138647
187,Karnataka,22,2019,1270658,1686333,CHAMARAJANAGAR,1817
188,Karnataka,23,2019,1621906,2497458,BANGALORE RURAL,206870
189,Karnataka,24,2019,1559459,2849250,BANGALORE NORTH,147518
190,Karnataka,25,2019,1197234,2204817,BANGALORE CENTRAL,70968
191,Karnataka,26,2019,1188491,2215489,BANGALORE SOUTH,331192
192,Karnataka,27,2019,1386963,1808780,CHIKKBALLAPUR,182110
193,Karnataka,28,2019,1258551,1629961,KOLAR,210021
194,Kerala,1,2019,1100051,1363937,KASARAGOD,40438
195,Kerala,2,2019,1053842,1266550,KANNUR,94559
196,Kerala,3,2019,1065619,1288926,VADAKARA,84663
197,Kerala,4,2019,1092197,1359679,WAYANAD,431770
198,Kerala,5,2019,1076193,1318024,KOZHIKODE,85225
199,Kerala,6,2019,1034618,1370544,MALAPPURAM,260153
200,Kerala,7,2019,1017265,1356803,PONNANI,193273
201,Kerala,8,2019,1028249,1323010,PALAKKAD,11637
202,Kerala,9,2019,1018743,1266794,ALATHUR,158968
203,Kerala,10,2019,1041869,1337110,THRISSUR,93633
204,Kerala,11,2019,990224,1230197,CHALAKUDY,132274
205,Kerala,12,2019,967203,1245972,ERNAKULAM,169153
206,Kerala,13,2019,919297,1204191,IDUKKI,171053
207,Kerala,14,2019,910339,1206698,KOTTAYAM,106259
208,Kerala,15,2019,1088728,1356701,ALAPPUZHA,10474
