Year,State_Name,Constituency_No,Constituency_Name,v1,v2,v3
1984.0,Dadra_&_Nagar_Haveli,1.0,DADRA & NAGAR HAVELI,54.33,40.31,3.65
1984.0,Karnataka,1.0,BIDAR,53.36,35.67,3.32
1984.0,Karnataka,2.0,GULBARGA,58.75,34.95,1.47
1984.0,Karnataka,3.0,RAICHUR,54.08,39.46,3.64
1984.0,Karnataka,4.0,KOPPAL,51.89,39.28,2.05
1984.0,Karnataka,5.0,BELLARY,56.05,41.4,0.63
1984.0,Karnataka,6.0,DAVANGERE,54.09,41.82,1.38
1984.0,Karnataka,7.0,CHITRADURGA,52.3,41.66,2.89
1984.0,Karnataka,8.0,TUMKUR,51.0,45.15,1.86
1984.0,Karnataka,9.0,CHIKBALLAPUR,51.8,43.67,1.9
1984.0,Karnataka,10.0,KOLAR,51.92,42.22,0.96
1984.0,Karnataka,11.0,KANAKAPURA,47.78,46.68,2.71
1984.0,Karnataka,12.0,BANGALORE NORTH,51.13,42.97,0.89
1984.0,Karnataka,13.0,BANGALORE SOUTH,47.58,45.29,2.42
1984.0,Karnataka,14.0,MANDYA,58.55,36.47,1.33
1984.0,Karnataka,15.0,CHAMARAJANAGAR,53.75,35.74,3.47
1984.0,Karnataka,16.0,MYSORE,54.71,40.44,1.26
1984.0,Karnataka,17.0,MANGALORE,62.03,37.3,0.67
1984.0,Karnataka,18.0,UDUPI,62.37,31.48,3.07
1984.0,Karnataka,19.0,HASSAN,49.52,43.56,5.37
1984.0,Karnataka,20.0,CHIKMAGALUR,61.8,29.62,3.78
1984.0,Karnataka,21.0,SHIMOGA,57.86,33.93,5.48
1984.0,Karnataka,22.0,KANARA,50.25,39.82,4.97
1984.0,Karnataka,23.0,DHARWAD SOUTH,53.14,41.27,0.86
1984.0,Karnataka,24.0,DHARWAD NORTH,52.31,42.11,1.94
1984.0,Karnataka,25.0,BELGAUM,42.66,35.18,12.64
1984.0,Karnataka,26.0,CHIKKODI,47.78,47.01,1.59
1984.0,Karnataka,27.0,BAGALKOT,49.82,47.59,1.38
1984.0,Karnataka,28.0,BIJAPUR,48.62,48.05,1.21
1984.0,Kerala,1.0,KASARAGOD,45.54,43.57,10.22
1984.0,Kerala,2.0,CANNANORE,51.66,47.18,0.53
1984.0,Kerala,3.0,BADAGARA,46.67,44.77,5.83
1984.0,Kerala,4.0,CALICUT,49.96,40.25,7.28
1984.0,Kerala,5.0,MANJERI,50.9,38.3,7.67
1984.0,Kerala,6.0,PONNANI,58.47,37.71,2.7
1984.0,Kerala,7.0,PALGHAT,51.62,44.76,1.99
1984.0,Kerala,8.0,OTTAPALAM,54.74,44.26,0.59
1984.0,Kerala,9.0,TRICHUR,51.92,42.01,4.35
1984.0,Kerala,10.0,MUKUNDAPURAM,51.44,43.59,3.58
1984.0,Kerala,11.0,ERNAKULAM,50.63,37.79,5.46
1984.0,Kerala,12.0,MUVATTUPUZHA,59.16,38.35,1.77
1984.0,Kerala,13.0,KOTTAYAM,47.49,46.44,4.68
1984.0,Kerala,14.0,IDUKKI,57.67,33.22,8.33
1984.0,Kerala,15.0,ALLEPPEY,51.95,45.49,1.79
1984.0,Kerala,16.0,MAVELIKARA,46.52,46.26,5.03
1984.0,Kerala,17.0,ADOOR,54.06,43.98,1.39
1984.0,Kerala,18.0,QUILON,49.77,46.14,2.55
1984.0,Kerala,19.0,CHIRAYINKIL,50.67,44.68,2.07
1984.0,Kerala,20.0,TRIVANDRUM,43.0,33.41,19.8
1984.0,Arunachal_Pradesh,1.0,ARUNACHAL WEST,42.91,42.56,7.28
1984.0,Arunachal_Pradesh,2.0,ARUNACHAL EAST,43.87,23.76,13.12
1984.0,Sikkim,1.0,SIKKIM,68.5,25.81,2.08
1984.0,"Goa,_Daman_&_Diu",1.0,PANAJI,42.97,23.73,14.23
1984.0,"Goa,_Daman_&_Diu",2.0,MORMUGAO,49.49,20.51,16.92
1984.0,Nagaland,1.0,NAGALAND,64.64,29.33,6.04
1984.0,Bihar,1.0,BAGAHA,68.73,14.37,10.7
1984.0,Bihar,2.0,BETTIAH,55.85,22.11,12.57
1984.0,Bihar,3.0,MOTIHARI,59.81,26.1,6.79
1984.0,Bihar,4.0,GOPALGANJ,59.21,22.72,14.98
1984.0,Bihar,5.0,SIWAN,60.29,27.04,5.05
1984.0,Bihar,6.0,MAHARAJGANJ,63.09,30.02,3.46
