Year,State_Name,Constituency_No,Constituency_Name,v1,v2,v3
1984,Andhra_Pradesh,1,SRIKAKULAM,60.68,35.35,2.27
1984,Andhra_Pradesh,2,PARVATHIPURAM,54.49,43.11,1.28
1984,Andhra_Pradesh,3,BOBBILI,61.95,34.9,2.14
1984,Andhra_Pradesh,4,VISAKHAPATNAM,61.1,35.44,0.8
1984,Andhra_Pradesh,5,BHADRACHALAM,50.3,43.97,4.7
1984,Andhra_Pradesh,6,ANAKAPALLI,65.8,30.11,0.86
1984,Andhra_Pradesh,7,KAKINADA,60.38,37.62,0.77
1984,Andhra_Pradesh,8,RAJAHMUNDRY,62.04,36.99,0.31
1984,Andhra_Pradesh,9,AMALAPURAM,61.24,38.15,0.61
1984,Andhra_Pradesh,10,NARASAPUR,65.89,30.59,2.48
1984,Andhra_Pradesh,11,ELURU,59.21,40.4,0.21
1984,Andhra_Pradesh,12,MACHILIPATNAM,49.84,48.17,1.01
1984,Andhra_Pradesh,13,VIJAYAWADA,50.97,46.41,1.01
1984,Andhra_Pradesh,14,TENALI,50.25,48.21,0.53
1984,Andhra_Pradesh,15,GUNTUR,49.52,47.51,1.25
1984,Andhra_Pradesh,16,BAPATLA,52.14,45.96,0.38
1984,Andhra_Pradesh,17,NARASARAOPET,49.87,47.46,1.08
1984,Andhra_Pradesh,18,ONGOLE,50.89,47.68,0.77
1984,Andhra_Pradesh,19,NELLORE,54.09,44.31,1.04
1984,Andhra_Pradesh,21,CHITTOOR,54.54,44.5,0.57
1984,Andhra_Pradesh,22,RAJAMPET,60.37,36.64,0.76
1984,Andhra_Pradesh,23,CUDDAPAH,52.11,43.61,1.91
1984,Andhra_Pradesh,24,HINDUPUR,63.14,35.06,0.73
1984,Andhra_Pradesh,25,ANANTAPUR,59.14,37.88,1.03
1984,Andhra_Pradesh,26,KURNOOL,49.94,48.51,0.7
1984,Andhra_Pradesh,27,NANDYAL,54.14,45.02,0.47
1984,Andhra_Pradesh,28,NAGARKURNOOL,57.67,40.6,1.73
1984,Andhra_Pradesh,29,MAHABUBNAGAR,51.89,36.72,6.2
1984,Andhra_Pradesh,30,HYDERABAD,38.13,37.53,22.35
1984,Andhra_Pradesh,31,SECUNDERABAD,49.02,47.33,0.85
1984,Andhra_Pradesh,32,SIDDIPET,46.61,44.0,3.57
1984,Andhra_Pradesh,33,MEDAK,48.21,47.87,1.17
1984,Andhra_Pradesh,34,NIZAMABAD,48.64,48.17,1.52
1984,Andhra_Pradesh,35,ADILABAD,55.66,42.93,0.75
1984,Andhra_Pradesh,36,PEDDAPALLI,51.98,42.07,2.99
1984,Andhra_Pradesh,37,KARIMNAGAR,50.46,34.16,3.77
1984,Andhra_Pradesh,38,HANAMKONDA,52.4,41.63,3.5
1984,Andhra_Pradesh,39,WARANGAL,43.56,41.98,13.3
1984,Andhra_Pradesh,40,KHAMMAM,44.7,29.04,20.31
1984,Andhra_Pradesh,41,NALGONDA,59.21,38.37,1.02
1984,Andhra_Pradesh,42,MIRYALGUDA,46.93,40.01,8.91
1984,Dadra_&_Nagar_Haveli,1,DADRA & NAGAR HAVELI,54.33,40.31,3.65
1984,Himachal_Pradesh,1,SIMLA,79.66,15.58,4.76
1984,Himachal_Pradesh,2,MANDI,67.52,27.86,1.15
1984,Himachal_Pradesh,3,KANGRA,62.45,30.88,3.47
1984,Himachal_Pradesh,4,HAMIRPUR,62.98,30.49,2.72
1984,Puducherry,1,PONDICHERRY,58.86,36.07,2.29
1984,Arunachal_Pradesh,1,ARUNACHAL WEST,42.91,42.56,7.28
1984,Arunachal_Pradesh,2,ARUNACHAL EAST,43.87,23.76,13.12
1984,Odisha,1,MAYURBHANJ,58.25,35.21,3.58
1984,Odisha,2,BALASORE,56.55,40.22,1.87
1984,Odisha,3,BHADRAK,55.49,40.92,3.14
1984,Odisha,4,JAJPUR,54.1,41.34,3.29
1984,Odisha,5,KENDRAPARA,50.14,46.85,1.35
1984,Odisha,6,CUTTACK,55.46,38.88,2.25
1984,Odisha,7,JAGATSINGHPUR,48.19,48.01,2.22
1984,Odisha,8,PURI,52.56,29.59,8.2
1984,Odisha,9,BHUBANESWAR,60.07,37.36,2.57
1984,Odisha,10,ASKA,60.76,31.4,2.78
1984,Odisha,11,BERHAMPUR,67.86,26.11,3.05
1984,Odisha,12,KORAPUT,68.52,24.31,7.17
1984,Odisha,14,KALAHANDI,47.6,40.21,5.29
1984,Odisha,15,PHULBANI,64.87,29.23,3.23
1984,Odisha,16,BOLANGIR,52.63,42.65,2.8
1984,Odisha,17,SAMBALPUR,60.68,26.73,8.67
1984,Odisha,18,DEOGARH,55.77,31.54,7.22
1984,Odisha,19,DHENKANAL,72.74,22.67,3.84
1984,Odisha,20,SUNDARGARH,56.99,22.51,8.11
1984,Odisha,21,KEONJHAR,57.68,30.74,3.51
1984,Gujarat,1,KUTCH,43.7,33.56,14.74
1984,Gujarat,2,SURENDRANAGAR,52.85,42.82,1.78
1984,Gujarat,3,JAMNAGAR,52.0,45.23,1.06
1984,Gujarat,4,RAJKOT,55.26,41.14,0.71
1984,Gujarat,5,PORBANDAR,60.14,37.3,0.65
1984,Gujarat,6,JUNAGADH,52.7,43.77,1.71
1984,Gujarat,7,AMRELI,53.07,43.42,1.22
1984,Gujarat,8,BHAVNAGAR,37.64,34.51,18.03
1984,Gujarat,9,DHANDHUKA,51.62,45.61,2.12
1984,Gujarat,10,AHMEDABAD,51.02,43.73,1.24
1984,Gujarat,11,GANDHINAGAR,46.84,46.33,1.27
1984,Gujarat,12,MEHSANA,52.86,44.79,0.51
1984,Gujarat,13,PATAN,47.36,45.6,1.33
1984,Gujarat,14,BANASKANTHA,47.47,40.38,7.79
1984,Gujarat,15,SABARKANTHA,47.04,45.51,1.76
1984,Gujarat,16,KAPADVANJ,51.35,44.12,2.56
1984,Gujarat,17,DOHAD,67.47,21.92,3.68
1984,Gujarat,18,GODHRA,60.18,35.07,1.89
1984,Gujarat,19,KAIRA,65.74,32.55,0.9
1984,Gujarat,20,ANAND,51.35,35.96,11.61
1984,Gujarat,21,CHHOTA UDAIPUR,63.38,31.47,1.49
1984,Gujarat,22,BARODA,56.45,27.43,12.44
1984,Gujarat,23,BROACH,63.0,34.44,1.11
1984,Gujarat,24,SURAT,53.71,44.23,0.81
1984,Gujarat,25,MANDVI,61.13,34.24,2.65
1984,Gujarat,26,BULSAR,55.67,41.85,1.34
1984,West_Bengal,1,COOCH BEHAR,53.04,46.05,0.91
1984,West_Bengal,2,ALIPURDUARS,51.91,46.29,1.44
